market,ma,ngay,khoi_luong_mua,gia_tri_mua,khoi_luong_ban,gia_tri_ban,khoi_luong_giao_dich_rong,gia_tri_giao_dich_rong,room_con_lai,dang_so_huu
HOSE,ITC,2022-11-21,0,0,0,1150000,0,-1150000,19244101,
HOSE,KHP,2022-11-21,0,0,0,184100000,0,-184100000,28405439,
HOSE,CRC,2022-11-21,0,530000,0,0,0,530000,14902730,
HOSE,CSM,2022-11-21,0,0,0,42000000,0,-42000000,51054689,
HOSE,HU1,2022-11-21,0,1050000,0,0,0,1050000,4651370,
HOSE,HTV,2022-11-21,0,9920000,0,0,0,9920000,4927486,
HOSE,HU3,2022-11-21,0,719000,0,0,0,719000,4430782,
HOSE,HVH,2022-11-21,0,5010000,0,0,0,5010000,17900752,
HOSE,HUB,2022-11-21,0,0,0,237300000,0,-237300000,17900752,
HOSE,EVG,2022-11-21,0,0,0,8932000,0,-8932000,105276447,
HOSE,EMC,2022-11-21,0,0,0,0,0,0,105276447,
HOSE,FCM,2022-11-21,0,191690400,0,0,0,191690400,20717399,
HOSE,FIT,2022-11-21,0,0,0,234080,0,-234080,20717399,
HOSE,FDC,2022-11-21,0,0,0,7170600,0,-7170600,19308250,
HOSE,DXV,2022-11-21,0,0,0,5460000,0,-5460000,4789650,
HOSE,DRL,2022-11-21,0,0,0,1334000,0,-1334000,4789650,
HOSE,DHM,2022-11-21,0,0,0,2967000,0,-2967000,4789650,
HOSE,DTA,2022-11-21,0,5490000,0,0,0,5490000,8825251,
HOSE,DTT,2022-11-21,0,0,0,0,0,0,3975195,
HOSE,DTL,2022-11-21,0,0,0,683800,0,-683800,30102450,
HOSE,DCL,2022-11-21,0,0,0,89964000,0,-89964000,30102450,
HOSE,GAB,2022-11-21,0,0,0,0,0,0,4425748,
HOSE,DAT,2022-11-21,0,0,0,1530000,0,-1530000,4425748,
HOSE,DAH,2022-11-21,0,0,0,173500,0,-173500,4425748,
HOSE,GSP,2022-11-21,0,0,0,0,0,0,4425748,
HOSE,GMH,2022-11-21,0,6400000,0,0,0,6400000,8242700,
HOSE,DBD,2022-11-21,0,73200000,0,0,0,73200000,69274800,
HOSE,FUCTVGF4,2022-11-21,0,0,0,0,0,0,9829400,
HOSE,FUCTVGF3,2022-11-21,0,0,0,0,0,0,9751392,
HOSE,FUEIP100,2022-11-21,0,9772000,0,0,0,9772000,5655100,
HOSE,DBT,2022-11-21,0,0,0,2400000,0,-2400000,5655100,
HOSE,DC4,2022-11-21,0,0,0,444000,0,-444000,26196671,
HOSE,LGL,2022-11-21,0,32100000,0,0,0,32100000,24292973,
HOSE,MWG,2022-11-21,100000,4065000000,100000,4065000000,0,0,24292973,
HOSE,CMV,2022-11-21,0,0,0,1420000,0,-1420000,24292973,
HOSE,KPF,2022-11-21,0,5600000,0,0,0,5600000,27950529,
HOSE,MDG,2022-11-21,0,21720000,0,0,0,21720000,5334225,
HOSE,MHC,2022-11-21,0,1640000,0,0,0,1640000,19362894,
HOSE,LGC,2022-11-21,0,0,0,44010000,0,-44010000,7738849,
HOSE,LEC,2022-11-21,0,0,0,15572000,0,-15572000,12785977,
HOSE,CKG,2022-11-21,0,0,0,379320000,0,-379320000,12785977,
HOSE,L10,2022-11-21,0,0,0,0,0,0,4723147,
HOSE,LAF,2022-11-21,0,0,0,0,0,0,6935865,
HOSE,CLW,2022-11-21,0,37000000,0,0,0,37000000,5737010,
HOSE,LSS,2022-11-21,0,0,0,3330000,0,-3330000,5737010,
HOSE,MCG,2022-11-21,0,546000,0,0,0,546000,28069591,
HOSE,CLL,2022-11-21,0,12275000,0,0,0,12275000,14269539,
HOSE,KMR,2022-11-21,0,139551000,0,2570000,0,136981000,21260504,
HOSE,NAV,2022-11-21,0,18400000,0,0,0,18400000,3841253,
HOSE,LM8,2022-11-21,0,0,0,12870000,0,-12870000,3841253,
HOSE,CIG,2022-11-21,0,0,0,208500000,0,-208500000,15443761,
HOSE,MCP,2022-11-21,0,0,0,359100,0,-359100,7361080,
HOSE,TLD,2022-11-21,0,0,1,3200,-1,-3200,36151355,
HOSE,DHG,2022-11-21,0,0,100,8200000,-100,-8200000,59849687,
HOSE,TCD,2022-11-21,0,0,200,996000,-200,-996000,118429181,
HOSE,FUEKIVFS,2022-11-21,25000,188750000,25400,191770000,-400,-3020000,802700,
HOSE,OCB,2022-11-21,16100,231035000,16500,236775000,-400,-5740000,7362946,
HOSE,ACG,2022-11-21,100,3600000,500,18000000,-400,-14400000,15524642,
HOSE,DRC,2022-11-21,3900,74100000,4300,81700000,-400,-7600000,48960341,
HOSE,GMC,2022-11-21,500,5700000,1000,11400000,-500,-5700000,13418778,
HOSE,TNT,2022-11-21,0,0,500,1555000,-500,-1555000,24960840,
HOSE,HSL,2022-11-21,0,0,500,1820000,-500,-1820000,16590740,
HOSE,ELC,2022-11-21,4000,31000000,4500,34875000,-500,-3875000,22728756,
