market,ma,ngay,gia_dong_cua,gia_tri_thay_doi,phan_tram_thay_doi,gia_tham_chieu,gia_mo_cua,gia_cao_nhat,gia_thap_nhat,khoi_luong_giao_dich_khop_lenh,gia_tri_giao_dich_khop_lenh,khoi_luong_giao_dich_thoa_thuan,gia_tri_giao_dich_thoa_thuan
HOSE,TV2,2022-11-22,20.4,0.8,0.0408,19.6,19.6,20.9,19.55,86200,1743000000,0,0
HOSE,ASM,2022-11-22,7.7,0.3,0.0405,7.4,7.45,7.91,7.36,7191700,56140000000,0,0
HOSE,HT1,2022-11-22,8.98,0.34,0.0394,8.64,8.64,9.11,8.63,612600,5468000000,0,0
HOSE,CTD,2022-11-22,29.6,1.1,0.038599999999999995,28.5,28.5,30.45,28.25,586700,17496000000,0,0
HOSE,AST,2022-11-22,51.8,1.9,0.0381,49.9,50.0,51.8,48.5,11500,575000000,0,0
HOSE,TYA,2022-11-22,12.55,0.45,0.037200000000000004,12.1,12.0,12.8,12.0,13900,169000000,0,0
HOSE,BCG,2022-11-22,5.92,0.21,0.0368,5.71,5.89,6.1,5.8,8512800,51264000000,392000,2128560000
HOSE,DAG,2022-11-22,3.68,0.13,0.0366,3.55,3.55,3.74,3.5,325500,1185000000,0,0
HOSE,ABS,2022-11-22,5.95,0.21,0.0366,5.74,5.75,6.1,5.73,2712400,16150000000,0,0
HOSE,CIG,2022-11-22,3.49,0.12,0.0356,3.37,3.37,3.55,3.37,167600,583000000,0,0
HOSE,PLX,2022-11-22,26.2,0.9,0.0356,25.3,25.3,26.7,25.1,1832900,48198000000,0,0
HOSE,PGC,2022-11-22,17.5,0.6,0.0355,16.9,17.0,17.5,16.95,14100,240000000,0,0
HOSE,HAX,2022-11-22,14.7,0.5,0.0352,14.2,14.25,15.15,13.8,910500,13608000000,0,0
HOSE,ILB,2022-11-22,25.0,0.85,0.0352,24.15,24.9,25.0,24.9,4200,104000000,0,0
HOSE,GMH,2022-11-22,13.45,0.45,0.0346,13.0,13.45,13.45,13.45,100,1000000,0,0
HOSE,TNA,2022-11-22,6.0,0.2,0.0345,5.8,5.8,6.1,5.4,417800,2418000000,0,0
HOSE,KDC,2022-11-22,61.0,2.0,0.0339,59.0,59.8,61.0,59.3,781600,46895000000,2287000,133700000000
HOSE,TDG,2022-11-22,4.0,0.13,0.0336,3.87,3.96,4.14,3.95,352400,1437000000,0,0
HOSE,SPM,2022-11-22,14.3,0.45,0.0325,13.85,13.5,14.3,13.5,800,10000000,0,0
HOSE,ELC,2022-11-22,8.0,0.25,0.0323,7.75,7.3,8.28,7.3,319000,2548000000,0,0
HOSE,LBM,2022-11-22,42.1,1.3,0.0319,40.8,42.1,42.1,42.1,100,4000000,0,0
HOSE,TNH,2022-11-22,31.5,0.9,0.0294,30.6,30.6,31.5,30.0,253900,7900000000,0,0
HOSE,PTL,2022-11-22,3.54,0.1,0.0291,3.44,3.42,3.68,3.41,252900,909000000,0,0
